"full_name","html_url","description","language","topics","stargazers_count","created_at"
"open-webui/open-webui","https://github.com/open-webui/open-webui","User-friendly AI Interface (Supports Ollama, OpenAI API, ...)","Python","ai;llm;llm-ui;llm-webui;llms;mcp;ollama;ollama-webui;open-webui;openai;openapi;rag;self-hosted;ui;webui","137267","06.10.2023 22:08:27"
"theroyallab/tabbyAPI","https://github.com/theroyallab/tabbyAPI","The official API server for Exllama. OAI compatible, lightweight, and fast.","Python","","1217","10.11.2023 5:54:02"
"alvinunreal/oh-my-opencode-slim","https://github.com/alvinunreal/oh-my-opencode-slim","Slimmed, cleaned and fine-tuned oh-my-opencode fork, consumes much less tokens","TypeScript","agentic-ai;antigravity;cerebras;oh-my-opencode;opencode;orchestration","4404","15.01.2026 18:45:08"
"awesome-opencode/awesome-opencode","https://github.com/awesome-opencode/awesome-opencode","A curated list of awesome plugins, themes, agents, projects, and resources for https://opencode.ai","JavaScript","","6945","22.09.2025 0:01:14"
"code-yeongyu/oh-my-openagent","https://github.com/code-yeongyu/oh-my-openagent","omo; the best agent harness - previously oh-my-opencode","TypeScript","ai;ai-agents;amp;anthropic;chatgpt;claude;claude-code;claude-skills;cursor;gemini;ide;openai;opencode;orchestration;tui;typescript","58015","03.12.2025 1:40:05"
"frap129/opencode-rules","https://github.com/frap129/opencode-rules","An opencode plugin to dynamically inject rules into context, like cursor","TypeScript","","72","02.11.2025 22:04:32"
"B-A-M-N/Sheppard","https://github.com/B-A-M-N/Sheppard","Sheppard is an AI agent for Ollama, handling memory, automation, and knowledge distillation using Redis, PostgreSQL, and ChromaDB. ","Python","ai-agent;automation;chromadb;knowledge-distillation;memory;ollama;postgresql;redis","9","04.03.2025 0:11:25"
"B-A-M-N/maestro-orchestrate","https://github.com/B-A-M-N/maestro-orchestrate","Multi-agent orchestration platform for Gemini CLI, Claude Code, and Codex — 22 specialists, parallel subagents, persistent sessions, and built-in code review, debugging, security, SEO, accessibility, and compliance tools",,"ai-agents;claude-code;code-review;codex;gemini-cli;multi-agent;orchestration;parallel-agents","1","10.04.2026 15:40:46"
"punkpeye/awesome-mcp-servers","https://github.com/punkpeye/awesome-mcp-servers","A collection of MCP servers.",,"ai;mcp","86967","30.11.2024 4:49:10"
"GraphiteEditor/Graphite","https://github.com/GraphiteEditor/Graphite","Community-built comprehensive 2D content creation appplication for graphic design, digital art, and interactive real-time motion graphics powered by a node-based procedural graphics engine","Rust","2d-graphics;animation;art;creative-coding;design;graphic-design;graphics;graphics-editor;image-manipulation;image-processing;motion-design;motion-graphics;node-graph;photo-editor;procedural;procedural-drawing;procedural-generation;svg-editor;vector-graphics","25670","26.04.2020 7:29:29"
"MemPalace/mempalace","https://github.com/MemPalace/mempalace","The best-benchmarked open-source AI memory system. And it's free.","Python","ai;chromadb;llm;mcp;memory;python","52283","05.04.2026 1:12:07"
"wenshao/codeagents","https://github.com/wenshao/codeagents",,"Python","","46","17.03.2026 6:27:39"
"samestrin/qwen-prompts","https://github.com/samestrin/qwen-prompts","Supercharge qwen-code with hybrid prompt-chaining, powered by gemini-cli integration. Performance improvements include 72% faster execution, 36-83% token efficiency gains, and 91.7% success rate verified across 5 repository benchmarks.",,"ai;automation;chaining;cli;development;gemini;gemini-cli;hybrid-chaining;hybrid-prompt-chaining;llm;llm-workflow;llm-workflows;prompt-chaining;prompt-chaining-workflow;prompts;qwen;qwen-code","20","21.08.2025 19:39:12"
"decolua/9router","https://github.com/decolua/9router","Unlimited FREE AI coding. Connect Claude Code, Codex, Cursor, Cline, Copilot, Antigravity to FREE Claude/GPT/Gemini via 40+ providers. Auto-fallback, RTK -40% tokens, never hit limits.","JavaScript","ai-agents;ai-gateway;anthropic;chatgpt;claude;claude-code;cline;codex;copilot;cursor;deepseek;free-ai;gemini;gemini-cli;llm;llm-gateway;openai;openai-proxy;qwen;token-saver","10813","05.01.2026 2:59:30"
"K-Dense-AI/scientific-agent-skills","https://github.com/K-Dense-AI/scientific-agent-skills","A set of ready to use Agent Skills for research, science, engineering, analysis, finance and writing.","Python","agent-skills;ai-scientist;bioinformatics;chemoinformatics;claude;claude-skills;claudecode;clinical-research;computational-biology;data-analysis;drug-discovery;genomics;materials-science;metabolomics;proteomics;scientific-computing;scientific-visualization","22669","19.10.2025 20:54:15"
"yusufkaraaslan/Skill_Seekers","https://github.com/yusufkaraaslan/Skill_Seekers","Convert documentation websites, GitHub repositories, and PDFs into Claude AI skills with automatic conflict detection","Python","ai-tools;ast-parser;automation;claude-ai;claude-skills;code-analysis;conflict-detection;documentation;documentation-generator;github;github-scraper;mcp;mcp-server;multi-source;ocr;pdf;python;web-scraping","13575","17.10.2025 14:43:48"
"handsome-rich/Awesome-Auto-Research-Tools","https://github.com/handsome-rich/Awesome-Auto-Research-Tools","A curated collection of automated research tools, covering literature search, paper reading, experiment management, and code generation to help researchers accelerate their workflow.","Python","","500","16.03.2026 5:49:55"
"davebcn87/pi-autoresearch","https://github.com/davebcn87/pi-autoresearch","Autonomous experiment loop extension for pi","TypeScript","","6684","11.03.2026 20:25:53"
"VoltAgent/awesome-design-md","https://github.com/VoltAgent/awesome-design-md","A collection of DESIGN.md files inspired by popular brand design systems. Drop one into your project and let coding agents generate a matching UI.",,"awesome-list;design-md;design-system;design-tokens;figma;google-stitch;landing-page;vibe-coding;vibe-design","79490","31.03.2026 16:37:01"
"Gitlawb/openclaude","https://github.com/Gitlawb/openclaude","runs anywhere. uses anything","TypeScript","ai;ai-agent;ai-tools;cli;coding","26847","01.04.2026 3:15:49"
"tanzhenxin/claude-code","https://github.com/tanzhenxin/claude-code","Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands. All original source code is the property of Anthropic.",,"","1","31.03.2026 10:31:24"
"mjansson/rpmalloc","https://github.com/mjansson/rpmalloc","Public domain cross platform lock free thread caching 16-byte aligned memory allocator implemented in C","Python","allocator;concurrency;memory;thread","2445","18.11.2016 12:57:26"
"josstei/maestro-orchestrate","https://github.com/josstei/maestro-orchestrate","Multi-agent orchestration platform for Gemini CLI, Claude Code, Codex, and Qwen Code — 39 specialists, parallel subagents, persistent sessions, and built-in code review, debugging, security, SEO, accessibility, and compliance tools","JavaScript","agentic;ai-agents;anthropic;claude;claude-code;claude-code-plugin;code-review;codex-cli;codex-plugin;developer-tools;gemini;gemini-cli;gemini-cli-extension;gemini-extension;multi-agent;openai-codex;orchestration;qwen;qwen-code;subagents","415","09.02.2026 6:49:37"
"alexeev-prog/nadzoring","https://github.com/alexeev-prog/nadzoring","An open source tool for detecting website blocks, downdetecting, and network analysis","Python","ai-first;ai-friendly;arp;censorship;cli;dns;network;network-analysis;network-monitoring;network-security;python;security;security-tools;utility","22","19.02.2026 10:57:08"
"VoltAgent/awesome-claude-code-subagents","https://github.com/VoltAgent/awesome-claude-code-subagents","A collection of 100+ specialized Claude Code subagents covering a wide range of development use cases","Shell","ai-agent-framework;ai-agent-tools;ai-agents;awesome;awesome-list;claude;claude-ai;claude-code-subagents;claude-subagents;subagents","19908","30.07.2025 12:31:51"
"huggingface/skills","https://github.com/huggingface/skills","Give your agents the power of the Hugging Face ecosystem","Python","","10502","24.11.2025 7:31:48"
"unslothai/unsloth","https://github.com/unslothai/unsloth","Unsloth Studio is a web UI for training and running open models like Gemma 4, Qwen3.6, DeepSeek, gpt-oss locally.","Python","agent;deepseek;fine-tuning;gemma;gemma3;gpt-oss;llama;llama3;llm;llms;mistral;openai;qwen;reinforcement-learning;self-hosted;text-to-speech;tts;ui;unsloth","64346","29.11.2023 16:50:09"
"666ghj/MiroFish","https://github.com/666ghj/MiroFish","A Simple and Universal Swarm Intelligence Engine, Predicting Anything. 简洁通用的群体智能引擎，预测万物","Python","agent-memory;financial-forecasting;future-prediction;knowledge-graph;llms;multi-agent-simulation;public-opinion-analysis;python3;social-prediction;swarm-intelligence","60859","26.11.2025 4:23:02"
"softaworks/agent-toolkit","https://github.com/softaworks/agent-toolkit","A curated collection of skills for AI coding agents. Skills are packaged instructions and scripts that extend agent capabilities across development, documentation, planning, and professional workflows.","Python","agent-skills;ai;automation;claude;claude-code;coding-agent;development","1813","19.01.2026 12:35:40"
"QwenLM/qwen-code-examples","https://github.com/QwenLM/qwen-code-examples","A collection of practical examples and best practices for Qwen Code","TypeScript","","125","18.12.2025 7:21:25"
"anthropics/skills","https://github.com/anthropics/skills","Public repository for Agent Skills","Python","agent-skills","135455","22.09.2025 15:53:31"
"dotnet/skills","https://github.com/dotnet/skills","Repository for skills to assist AI coding agents with .NET and C#","C#","agent-skills","1708","03.02.2026 22:51:09"
"XuehaiPan/nvitop","https://github.com/XuehaiPan/nvitop","An interactive NVIDIA-GPU process viewer and beyond, the one-stop solution for GPU process management.","Python","command-line-tool;console;cuda;curses;gpu;gpu-monitoring;grafana;grafana-dashboard;htop;monitoring;monitoring-tool;nvidia;nvidia-smi;nvml;process-monitoring;prometheus;prometheus-exporter;resource-monitor;top","6905","25.01.2021 12:17:02"
"Q00/ouroboros","https://github.com/Q00/ouroboros","Agent OS: Stop prompting. Start specifying.","Python","agent-os;ai-agent;mcp","4073","14.01.2026 1:14:04"
"tfriedel/claude-office-skills","https://github.com/tfriedel/claude-office-skills","Office document creation and editing skills for Claude Code - PPTX, DOCX, XLSX, and PDF workflows with automation support","Python","","636","04.10.2025 14:24:13"
"obra/superpowers","https://github.com/obra/superpowers","An agentic skills framework & software development methodology that works.","Shell","","193232","09.10.2025 19:45:18"
"github/spec-kit","https://github.com/github/spec-kit","💫 Toolkit to help you get started with Spec-Driven Development","Python","ai;copilot;development;engineering;prd;spec;spec-driven","100394","21.08.2025 22:54:31"
"sgl-project/sglang","https://github.com/sgl-project/sglang","SGLang is a high-performance serving framework for large language models and multimodal models.","Python","attention;blackwell;cuda;deepseek;diffusion;glm;gpt-oss;inference;llama;llm;minimax;moe;qwen;qwen-image;reinforcement-learning;transformer;vlm;wan","27861","08.01.2024 4:15:52"
"huggingface/kernels","https://github.com/huggingface/kernels","Build compute kernels and load them from the Hub.","Python","","638","29.11.2024 15:46:13"
"nicepkg/ai-workflow","https://github.com/nicepkg/ai-workflow","  🚀 170+ pre-built skills for Claude Code, Cursor, Codex & 14+ AI tools. Stop re-teaching your AI the same things. One command → instant domain expertise. Marketing, SEO,   Trading, Video, PM workflows included.","HTML","agent;agent-skills;ai;anthropic;claude;claude-code;codex;cursor;gemini;open-code;openai;skills;workflow","190","16.01.2026 21:33:29"
"AlexsJones/llmfit","https://github.com/AlexsJones/llmfit","Hundreds of models & providers. One command to find what runs on your hardware.","Rust","gguf;llm;localai;mlx;skill;unsloth","26198","15.02.2026 16:11:31"
"alibaba/zvec","https://github.com/alibaba/zvec","A lightweight, lightning-fast, in-process vector database","C++","agent-skills;db;embedded;faiss;hnsw;llm-memory;local;rag;search-engine;semantic-search;similarity-search;vector-database;vector-db","9631","05.12.2025 7:45:38"
"alexeev-prog/KintsugiOS","https://github.com/alexeev-prog/KintsugiOS","Minimalistic and rich x86_64 operation system in (N)ASM and C","C","asm;c;fasm;i386;i386-elf-gcc;nasm;operating-system;os;osdev;x86;x86-assembly","10","19.08.2025 14:23:34"
"nikitaCodeSave/Project-Docs-Skill","https://github.com/nikitaCodeSave/Project-Docs-Skill",,,"","3","02.02.2026 16:07:33"
"mementum/misogi-reading-2026","https://github.com/mementum/misogi-reading-2026","Misogi - Reading 26 Books in 52 Weeks","Makefile","","2","21.01.2026 12:57:34"
"CodeGraphContext/CodeGraphContext","https://github.com/CodeGraphContext/CodeGraphContext","An MCP server plus a CLI tool that indexes local code into a graph database to provide context to AI assistants.","Python","hacktoberfest2025;social-winter-of-code","3285","16.08.2025 19:20:31"
"PaulStoffregen/FreqCount","https://github.com/PaulStoffregen/FreqCount","Measures the frequency of a signal by counting the number of pulses during a fixed time.","C","","150","05.06.2014 16:57:50"
"VisoMasterFusion/VisoMaster-Fusion","https://github.com/VisoMasterFusion/VisoMaster-Fusion","Powerful & Easy-to-Use Video Face Swapping and Editing Software","Python","ai;computer-vision;face-editor;faceswap;live-portrait;video-editor;vr","315","26.10.2025 12:09:23"
"VoltAgent/awesome-openclaw-skills","https://github.com/VoltAgent/awesome-openclaw-skills","The awesome collection of OpenClaw skills. 5,400+ skills filtered and categorized from the official OpenClaw Skills Registry.🦞",,"agent-skills;awesome;awesome-list;awesome-lists;clawd;clawdbot;clawdbot-skill;clawdhub;moltbot;moltbot-skills;openclaw;openclaw-skills","48752","25.01.2026 9:22:32"
"0xSojalSec/LLMs-local","https://github.com/0xSojalSec/LLMs-local"," list of awesome platforms, tools, and resources   run for LLMs locally",,"","632","17.12.2025 10:04:18"
"siddharth-maddali/frft","https://github.com/siddharth-maddali/frft","Fast implementation of the multi-dimensional fractional Fourier transform in Python","Jupyter Notebook","fractional-fourier-transfrom;image-processing;optics;python;signal-processing;wave-propagation","57","02.08.2021 15:59:58"
"Piebald-AI/claude-code-system-prompts","https://github.com/Piebald-AI/claude-code-system-prompts","All parts of Claude Code's system prompt, 24 builtin tool descriptions, sub agent prompts (Plan/Explore/Task), utility prompts (CLAUDE.md, compact,  statusline, magic docs, WebFetch, Bash cmd, security review, agent creation).  Updated for each Claude Code version.","JavaScript","claude-code;claude-code-system-prompts;system-prompts","10231","18.11.2025 21:26:33"
"PyWavelets/pywt","https://github.com/PyWavelets/pywt","PyWavelets - Wavelet Transforms in Python","Python","continuous-wavelet;image-processing;signal-processing;wavelet-transform;wavelets","2367","22.07.2013 20:10:04"
"ggerganov/ggwave","https://github.com/ggerganov/ggwave","Tiny data-over-sound library","C++","arduino;data-over-sound;ecc;fsk;internet-of-things;modem;pairing;python;qrcode;serverless;sound-library;ultrasound","7657","29.11.2020 9:02:43"
"MaxHastings/llm-madness","https://github.com/MaxHastings/llm-madness",,"Python","","233","30.12.2025 22:28:09"
"google/gemmlowp","https://github.com/google/gemmlowp","Low-precision matrix multiplication","C++","","1844","06.07.2015 21:15:00"
"Maratyszcza/FP16","https://github.com/Maratyszcza/FP16","Conversion to/from half-precision floating point formats","C++","floating-point;fp16;half-precision","384","16.02.2017 21:57:04"
"luxluxlux/cyphro","https://github.com/luxluxlux/cyphro","Privacy-first open-source web app for protecting personal files directly in the browser — no server processing, no tracking, no registration.","TypeScript","docker;html;jest;nginx;react;sass;security;typescript;webapp","3","22.07.2023 15:36:16"
"agent0ai/agent-zero","https://github.com/agent0ai/agent-zero","Agent Zero AI framework","Python","agent;ai;assistant;autonomous;linux;zero","17680","10.06.2024 9:10:45"
"Morwenn/cpp-sort","https://github.com/Morwenn/cpp-sort","Sorting algorithms & related tools for C++","C++","algorithm;cpp;sorting","707","01.08.2015 11:58:35"
"EvilFreelancer/cursor-vibe-prompts","https://github.com/EvilFreelancer/cursor-vibe-prompts","Коллекция промтов для комфорной работы с Cursor",,"","14","28.12.2025 14:15:55"
"Sid346/Spectrum-Plotter","https://github.com/Sid346/Spectrum-Plotter","A Qt based GUI Application for plotting the Spectrum of an audio file/signal.","C++","","1","08.05.2020 16:49:13"
"microsoft/TRELLIS.2","https://github.com/microsoft/TRELLIS.2","Native and Compact Structured Latents for 3D Generation","Python","","6902","26.11.2025 10:04:35"
"ARM-software/CMSIS-DSP","https://github.com/ARM-software/CMSIS-DSP","CMSIS-DSP embedded compute library for Cortex-M and Cortex-A","C","cortex-a;cortex-m;dsp;embedded;fft;filter;fixed-point-arithmetic;matrix;ml;numpy","1003","01.06.2022 14:44:12"
"ARM-software/CMSIS_5","https://github.com/ARM-software/CMSIS_5","CMSIS Version 5 Development Repository","C","","1591","18.02.2016 8:04:18"
"ARM-software/CMSIS_4","https://github.com/ARM-software/CMSIS_4","Cortex Microcontroller Software Interface Standard (V4 no longer maintained)","C","","482","15.06.2015 8:27:56"
"facebookresearch/sam-audio","https://github.com/facebookresearch/sam-audio","The repository provides code for running inference with the Meta Segment Anything Audio Model (SAM-Audio), links for downloading the trained model checkpoints, and example notebooks that show how to use the model.","Python","","3497","04.09.2025 16:46:34"
"Reference-LAPACK/lapack","https://github.com/Reference-LAPACK/lapack","LAPACK development repository","Fortran","blas;eigenvalues;eigenvectors;lapack;lapacke;linear-algebra;linear-equations;matrix-factorization;singular-values;svd","1847","29.04.2016 3:19:39"
"vllm-project/vllm","https://github.com/vllm-project/vllm","A high-throughput and memory-efficient inference and serving engine for LLMs","Python","amd;blackwell;cuda;deepseek;deepseek-v3;gpt;gpt-oss;inference;kimi;llama;llm;llm-serving;model-serving;moe;openai;pytorch;qwen;qwen3;tpu;transformer","80163","09.02.2023 11:23:20"
"alexeev-prog/theartoffun_C","https://github.com/alexeev-prog/theartoffun_C","The Art Of Fun / C","C","c;c-programming-language;fun;funny;magic;tricks","34","26.07.2025 15:53:05"
"shybovycha/sse-optimizations","https://github.com/shybovycha/sse-optimizations","Samples of SSE intrinsics in C++","C++","cpp;sse","2","25.06.2015 6:15:51"
"inkooboo/thread-pool-cpp","https://github.com/inkooboo/thread-pool-cpp","High performance C++11 thread pool","C++","","585","17.07.2013 14:43:45"
"x1xhlol/system-prompts-and-models-of-ai-tools","https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools","FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models",,"ai;bolt;cluely;copilot;cursor;cursorai;devin;github-copilot;lovable;open-source;perplexity;replit;system-prompts;trae;trae-ai;trae-ide;v0;vscode;windsurf;windsurf-ai","137463","05.03.2025 16:38:29"
"microsoft/DirectXMath","https://github.com/microsoft/DirectXMath","DirectXMath is an all inline SIMD C++ linear algebra library for use in games and graphics apps","C++","arm-neon;arm64;avx;avx2;clang;cpp-library;desktop;directx;directxmath;microsoft;msvc;neon;simd;sse;uwp;xbox","1772","23.05.2016 19:28:58"
"Apress/modern-parallel-programming-cpp-assembly","https://github.com/Apress/modern-parallel-programming-cpp-assembly","Source code for 'Modern Parallel Programming with C++ and Assembly' by Dan Kusswurm","C++","","79","07.12.2021 14:08:37"
"ggml-org/whisper.cpp","https://github.com/ggml-org/whisper.cpp","Port of OpenAI's Whisper model in C/C++","C++","inference;openai;speech-recognition;speech-to-text;transformer;whisper","49733","25.09.2022 18:26:37"
"Const-me/Whisper","https://github.com/Const-me/Whisper","High-performance GPGPU inference of OpenAI's Whisper automatic speech recognition (ASR) model","C++","","10406","07.01.2023 17:25:57"
"Const-me/SimdIntroArticle","https://github.com/Const-me/SimdIntroArticle",,"C","","149","14.02.2020 17:02:33"
"stevengj/nlopt","https://github.com/stevengj/nlopt","library for nonlinear optimization, wrapping many algorithms for global and local, constrained or unconstrained, optimization","C","","2217","27.08.2013 16:59:11"
"mawo-ru/mawo-pymorphy3","https://github.com/mawo-ru/mawo-pymorphy3","Улучшенный морфологический анализатор для русского языка с DAWG-оптимизацией","Python","dawg;mawo;morphology;nlp;russian","32","31.10.2025 4:17:06"
"ERGO-Code/HiGHS","https://github.com/ERGO-Code/HiGHS","Linear optimization software","C++","high-performance;interior-point-method;linear-optimization;mixed-integer-programming;parallel;quadratic-programming;simplex","1625","27.03.2018 13:57:58"
"apoorvnandan/tensor.h","https://github.com/apoorvnandan/tensor.h","creating a tiny tensor library in raw C","C","","1455","10.10.2024 14:42:36"
"ggml-org/llama.cpp","https://github.com/ggml-org/llama.cpp","LLM inference in C/C++","C++","ggml","110356","10.03.2023 18:58:00"
"alibaba/MNN","https://github.com/alibaba/MNN","MNN: A blazing-fast, lightweight inference engine battle-tested by Alibaba, powering high-performance on-device LLMs and Edge AI.","C++","arm;convolution;deep-learning;embedded-devices;llm;machine-learning;ml;mnn;transformer;vulkan;winograd-algorithm","15170","15.04.2019 7:40:18"
"pytorch/executorch","https://github.com/pytorch/executorch","On-device AI across mobile, embedded and edge for PyTorch","Python","deep-learning;embedded;gpu;machine-learning;mobile;neural-network;tensor","4615","25.02.2022 17:58:31"
"miloyip/game-programmer","https://github.com/miloyip/game-programmer","A Study Path for Game Programmer","Python","","18595","06.12.2016 6:26:17"
"fffaraz/awesome-cpp","https://github.com/fffaraz/awesome-cpp","A curated list of awesome C++ (or C) frameworks, libraries, resources, and shiny things. Inspired by awesome-... stuff.",,"awesome;awesome-list;c;c-plus-plus;cpp;cpp-library;cppcon;libraries;list;lists;programming-tutorial;resources","71266","17.07.2014 8:51:11"
"gotalab/cc-sdd","https://github.com/gotalab/cc-sdd","Turn approved specs into long-running autonomous implementation. A minimal, adaptable SDD harness with Agent Skills for Claude Code, Codex, Cursor, Copilot, Windsurf, OpenCode, Gemini CLI, and Antigravity.","TypeScript","agent-skills;claude-code;codex;cursor;gemini-cli;github-copilot;kiro;opencode;sdd;spec-driven-development;steering;subagents","3357","17.07.2025 4:41:37"
"Alibaba-NLP/DeepResearch","https://github.com/Alibaba-NLP/DeepResearch","Tongyi Deep Research, the Leading Open-source Deep Research Agent","Python","agent;alibaba;artificial-intelligence;deep-research;deepresearch;information-seeking;llm;tongyi;web-agent","18876","09.01.2025 11:07:35"
"KhronosGroup/OpenCL-SDK","https://github.com/KhronosGroup/OpenCL-SDK","OpenCL SDK","C++","","757","10.02.2020 17:18:01"
"anomalyco/opencode","https://github.com/anomalyco/opencode","The open source coding agent.","TypeScript","","160986","30.04.2025 20:08:00"
"arabold/docs-mcp-server","https://github.com/arabold/docs-mcp-server","Grounded Docs MCP Server: Open-Source Alternative to Context7, Nia, and Ref.Tools","TypeScript","agentic-ai;copilot;cursor;llm;mcp;vscode;windsurf","1337","17.03.2025 15:13:15"
"cheahjs/free-llm-api-resources","https://github.com/cheahjs/free-llm-api-resources","A list of free LLM inference resources accessible via API.","Python","ai;claude;gemini;llama;llm;openai","21611","04.07.2024 20:10:17"
"docker/docker-agent","https://github.com/docker/docker-agent","AI Agent Builder and Runtime by Docker Engineering","Go","agents;ai","2918","01.09.2025 12:14:45"
"vamplabAI/sgr-agent-core","https://github.com/vamplabAI/sgr-agent-core","Schema-Guided Reasoning (SGR) has agentic system design created by neuraldeep community","Python","agent;deep-research;function-calling;llm;openai-api;research;sgr;so;structured-output","1088","26.08.2025 5:19:58"
"ashishpatel26/500-AI-Agents-Projects","https://github.com/ashishpatel26/500-AI-Agents-Projects","The 500 AI Agents Projects is a curated collection of AI agent use cases across various industries. It showcases practical applications and provides links to open-source projects for implementation, illustrating how AI agents are transforming sectors such as healthcare, finance, education, retail, and more.",,"ai-agents;genai","30591","20.12.2024 13:37:15"
"vanna-ai/vanna","https://github.com/vanna-ai/vanna","🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using Agentic Retrieval 🔄.","Python","agent;ai;data-visualization;database;llm;rag;sql;text-to-sql","23448","13.05.2023 17:26:28"
"google-gemini/gemini-cli","https://github.com/google-gemini/gemini-cli","An open-source AI agent that brings the power of Gemini directly into your terminal.","TypeScript","ai;ai-agents;cli;gemini;gemini-api;mcp-client;mcp-server","104091","17.04.2025 17:04:31"
"QwenLM/qwen-code","https://github.com/QwenLM/qwen-code","An open-source AI agent that lives in your terminal.","TypeScript","","24413","26.06.2025 1:37:46"
"agno-agi/agno","https://github.com/agno-agi/agno","Build, run, and manage agent platforms.","Python","agents;ai;ai-agents;developer-tools;python","40146","04.05.2022 15:23:02"
"TransformerOptimus/SuperAGI","https://github.com/TransformerOptimus/SuperAGI","<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.","Python","agents;agi;ai;artificial-general-intelligence;artificial-intelligence;autonomous-agents;gpt-4;hacktoberfest;llm;llmops;nextjs;openai;pinecone;python;superagi","17520","13.05.2023 8:55:24"
"DrDanicka/trading_strategy_tester","https://github.com/DrDanicka/trading_strategy_tester",,"Python","","5","08.07.2024 16:50:52"
"LykosAI/StabilityMatrix","https://github.com/LykosAI/StabilityMatrix","Multi-Platform Package Manager for Stable Diffusion","C#","ai;automatic1111;avalonia;comfyui;dotnet;python;sd-webui;stable-diffusion;text2image","8178","13.06.2023 5:20:38"
"bybit-exchange/pybit","https://github.com/bybit-exchange/pybit","Official Python3 API connector for Bybit's HTTP and WebSockets APIs.","Python","","658","11.02.2022 9:44:18"
"oobabooga/textgen","https://github.com/oobabooga/textgen","Open-source desktop app for local LLMs. Text, vision, tool-calling, OpenAI/Anthropic-compatible API. 100% private.","Python","","47133","21.12.2022 4:17:37"
"ps-wiki/best-of-ps","https://github.com/ps-wiki/best-of-ps","🏆 A weekly updated ranked list of popular open-source libraries and tools for Power System Analysis.",,"best-of;best-of-list;co-simulation;dae;differential-algebraic-equations;large-scale;ode;optimization;optimizer;ordinary-differential-equations;power;power-grids;power-system;power-system-analysis;power-system-simulation;powerflow;simulation","271","29.11.2022 16:56:33"
"dotnet/Open-XML-SDK","https://github.com/dotnet/Open-XML-SDK","Open XML SDK by Microsoft","C#","docx;office;openxml-format;pptx","4511","05.06.2014 16:11:17"
"maybe-finance/maybe","https://github.com/maybe-finance/maybe","The personal finance app for everyone","Ruby","finance;hotwire;personal-finance;postgresql;ruby;ruby-on-rails;stimulusjs;turbo","54123","01.01.2024 22:23:46"
"EPPlusSoftware/EPPlus","https://github.com/EPPlusSoftware/EPPlus","EPPlus-Excel spreadsheets for .NET","C#","epplus;excel;net;netcore;netframework;netstandard;ooxml;spreadsheet","2020","29.05.2019 13:47:01"
"andysingal/llm-course","https://github.com/andysingal/llm-course",,"Jupyter Notebook","","862","22.08.2023 3:59:41"
"ggml-org/ggml","https://github.com/ggml-org/ggml","Tensor library for machine learning","C++","automatic-differentiation;large-language-models;machine-learning;tensor-algebra","14650","18.09.2022 17:07:19"
"Lightning-AI/litgpt","https://github.com/Lightning-AI/litgpt","20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale.","Python","ai;artificial-intelligence;deep-learning;large-language-models;llm;llm-inference;llms","13363","04.05.2023 17:46:11"
"huggingface/transformers","https://github.com/huggingface/transformers","🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","Python","audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm","160648","29.10.2018 13:56:00"
"paperswithbacktest/awesome-systematic-trading","https://github.com/paperswithbacktest/awesome-systematic-trading","A curated list of awesome libraries, packages, strategies, books, blogs, tutorials for systematic trading.","Python","algorithmic-trading;algotrading;alpha;arbitrage-bot;awesome;awesome-list;book;finance;futures;futures-historical-data;futures-market;futuresmarkets;paper;quant;quantitative-finance;quantitative-trading;trading-algorithms;trading-bot;trading-strategies","8191","05.02.2022 20:48:52"
"thuml/TimesNet","https://github.com/thuml/TimesNet","About Code release for ""TimesNet: Temporal 2D-Variation Modeling for General Time Series Analysis"" (ICLR 2023), https://openreview.net/pdf?id=ju_Uqw384Oq",,"","1072","15.02.2023 6:30:15"
"thuml/Time-Series-Library","https://github.com/thuml/Time-Series-Library","A Library for Advanced Deep Time Series Models for General Time Series Analysis.","Python","deep-learning;time-series;time-series-analysis","12269","13.02.2023 8:47:46"
"chiphuyen/aie-book","https://github.com/chiphuyen/aie-book","[WIP] Resources for AI engineers. Also contains supporting materials for the book AI Engineering (Chip Huyen, 2025)","Jupyter Notebook","","15688","03.12.2024 19:43:36"
"hukenovs/slovo","https://github.com/hukenovs/slovo","Slovo: Russian Sign Language Dataset and Models","Python","dataset;deep-learning;gesture-recognition;gestures-classification;glosses;open-source;russian-language;sign-language;transformers","88","02.04.2023 15:58:03"
