"full_name","html_url","description","language","topics","stargazers_count","created_at"
"ray-project/ray","https://github.com/ray-project/ray","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.","Python","data-science;deep-learning;deployment;distributed;hyperparameter-optimization;hyperparameter-search;large-language-models;llm;llm-inference;llm-serving;machine-learning;optimization;parallel;python;pytorch;ray;reinforcement-learning;rllib;serving;tensorflow","42551","25.10.2016 19:38:30"
"modin-project/modin","https://github.com/modin-project/modin","Modin: Scale your Pandas workflows by changing a single line of code","Python","analytics;data-science;dataframe;datascience;distributed;modin;pandas;python;sql","10386","21.06.2018 21:35:05"
"mwaskom/seaborn","https://github.com/mwaskom/seaborn","Statistical data visualization in Python","Python","data-science;data-visualization;matplotlib;pandas;python","13870","18.06.2012 18:41:19"
"javiercn/BlazorMultipleApps","https://github.com/javiercn/BlazorMultipleApps","Hosting multiple blazor applications side by side","HTML","","60","08.04.2020 13:37:13"
"ryanelian/FluentValidation.Blazor","https://github.com/ryanelian/FluentValidation.Blazor","Fluent Validation-powered Blazor component for validating standard <EditForm> :milky_way: :white_check_mark:","C#","asp-net-core;blazor;component;dependency-injection;lambda;linq;validation","232","27.09.2019 21:31:53"
"arivera12/BlazorDownloadFile","https://github.com/arivera12/BlazorDownloadFile","Blazor download files to the browser from c# without any javascript library reference or dependency.","HTML","blazor;blazordownloadfile;csharp","192","05.04.2020 21:10:07"
"danroth27/BlazorExcelSpreadsheet","https://github.com/danroth27/BlazorExcelSpreadsheet","Generate an Excel spreadsheet from Blazor","HTML","","55","14.12.2018 15:32:53"
"jsakamoto/Toolbelt.Blazor.I18nText","https://github.com/jsakamoto/Toolbelt.Blazor.I18nText","The class library that provides the ability to localize texts on your Blazor app!","C#","blazor;i18n;localization","284","23.02.2019 0:28:56"
"markmap/markmap","https://github.com/markmap/markmap","Build mindmaps with plain text","TypeScript","markmap;mindmap","12791","13.01.2020 10:23:34"
"software-architects/learn-blazor","https://github.com/software-architects/learn-blazor","Website with learning resources regarding the Blazor platform","HTML","","97","08.03.2018 18:47:42"
"SamProf/MatBlazor","https://github.com/SamProf/MatBlazor","Material Design components for Blazor and Razor Components","HTML","blazor;blazor-client;blazor-component;blazor-server;material;material-design;razor-components","2859","09.10.2018 22:01:50"
"dotnet/try-convert","https://github.com/dotnet/try-convert","Helping .NET developers port their projects to .NET Core!","C#","csharp;dotnet;dotnetcore;msbuild;winforms;wpf","1160","18.09.2019 0:14:38"
"danroth27/BlazorWeather","https://github.com/danroth27/BlazorWeather","Blazor Weather","C#","","248","18.09.2019 10:57:22"
"stavroskasidis/BlazorContextMenu","https://github.com/stavroskasidis/BlazorContextMenu","A context menu component for Blazor !","C#","blazor;blazor-client;blazor-server;contextmenu;nuget;razor;razor-components;razorcomponents","552","29.04.2018 22:28:29"
"Megabit/Blazorise","https://github.com/Megabit/Blazorise","Blazorise is a component library built on top of Blazor with support for CSS frameworks like Bootstrap, Tailwind, Bulma, AntDesign, and Material.","C#","antdesign;asp-net-core;blazor;blazor-components;blazor-server;blazor-webassembly;blazorise;bootstrap;bootstrap4;bootstrap5;bulma;charts;component-library;components;datagrid;dotnet;material;netcore;tailwind;wasm","3519","01.12.2018 18:18:09"
"napari/napari","https://github.com/napari/napari","napari: a fast, interactive, multi-dimensional image viewer for python","Python","napari;numpy;python;visualization","2652","13.08.2018 1:12:28"
"chanan/BlazorStrap","https://github.com/chanan/BlazorStrap","Bootstrap 4 Components for Blazor Framework","HTML","blazor;bootstrap4;bootstrap5","930","20.04.2018 22:06:05"
"AdrienTorris/awesome-blazor","https://github.com/AdrienTorris/awesome-blazor","Resources for Blazor, a .NET web framework using C#/Razor and HTML that runs in the browser with WebAssembly.",,"asp-net-core;aspnetcore;awesome;awesome-list;blazor;blazor-application;blazor-component;blazor-crud;blazor-interop;blazor-master;blazor-port;blazor-sample;blazor-web;csharp;dotnet-core;microsoft;microsoft-blazor;razor;razor-components;webassembly","9335","29.03.2018 6:29:46"
"dotnet-presentations/blazor-workshop","https://github.com/dotnet-presentations/blazor-workshop","Blazor workshop","HTML","","3568","17.01.2019 17:49:26"
"JuliaEnergy/PowerDynamics.jl","https://github.com/JuliaEnergy/PowerDynamics.jl","Package for dynamical modeling of power grids","Julia","","129","10.10.2018 13:31:25"
"sindresorhus/awesome","https://github.com/sindresorhus/awesome","😎 Awesome lists about all kinds of interesting topics",,"awesome;awesome-list;lists;resources;unicorns","466841","11.07.2014 13:42:37"
"lebigot/effective-pandas","https://github.com/lebigot/effective-pandas","Source code for my collection of articles on using pandas.","Jupyter Notebook","","1","14.08.2017 21:25:57"
"lmfit/uncertainties","https://github.com/lmfit/uncertainties","Transparent calculations with uncertainties on the quantities involved (aka ""error propagation""); calculation of derivatives.","Python","autodiff;autodifferentiation;differentiation;error-propagation;uncertainties","666","11.06.2010 19:50:15"
"SFML/SFML.Net","https://github.com/SFML/SFML.Net","Official binding of SFML for .Net languages","C#","audio;crossplatform;dotnet;graphics;hacktoberfest;multimedia;opengl;sfml","583","06.07.2011 20:18:03"
"dit/dit","https://github.com/dit/dit","Python package for information theory.","Python","information-theory;python","573","29.09.2013 23:03:51"
"dotnet/machinelearning","https://github.com/dotnet/machinelearning","ML.NET is an open source and cross-platform machine learning framework for .NET.","C#","algorithms;dotnet;machine-learning;ml","9327","03.05.2018 16:20:42"
"zhenkletkin/db_example","https://github.com/zhenkletkin/db_example",,"Python","","1","11.10.2017 20:06:51"
"john-h-k/MathSharp","https://github.com/john-h-k/MathSharp","A vector and matrix library written in C# using hardware intrinsics","C#","3d-graphics;csharp;dotnet;dotnet-core;hardware-intrinsics;matrix;vector;vector-graphics","703","31.05.2019 17:51:17"
"litedb-org/LiteDB","https://github.com/litedb-org/LiteDB","LiteDB - A .NET NoSQL Document Store in a single data file","C#","database;dotnet;hacktoberfest;litedb;nosql","9392","25.08.2014 13:49:30"
